type,name,notice,furigana
Ordinary Trash,aluminum foil,,A
Small Metal Articles,Irons,,I
Small Metal Articles,Ironing board(within 30cm),"The case that the longest side is over 30cm is Oversized Trash",I
Oversized Trash,Ironing board(over 30cm),,I
"Empty Cans,PET Bottles",Empty Cans(Cans for drinking, sweets, dried milk,etc. and spray cans),,E
Empty Bottles,Empty Bottles(bottles for drinking, spices),,E
Mix Paper,Photo Albums(paper),"Made from paper:Mix Paper(The album with metal can be collected Mix Paper. But if the metal can be removed, the metal is collectedSmall Metal Articles)",P
Ordinary Trash,Photo Albums(prastic),"The material is made from prastic,Ordinary Trash",P
Ordinary Trash,Cooking Oil(Used),"Either absorb in cloth or use a solidifying agent before disposing.",C
Oversized Trash,Stones(within 30cm),Oversized Trash受付センターへ申込み（無料）。直径が30cm未満のもので、1回につき5個まで。30cm以上のものは販売店にご相談ください。,い
Empty Bottles,一升びん,できるだけ購入店か資源集団回収へ,い
Ordinary Trash,板ガラス（50cm未満）,最長辺が50cm以上ならOversized Trash,い
Oversized Trash,板ガラス（50cm以上）,最長辺が50cm未満ならOrdinary Trash,い
Oversized Trash,一斗缶（18リットル缶）,事業系のものは収集しません,い
Ordinary Trash,衣類,できるだけ資源集団回収へ,い
Ordinary Trash,植木鉢（陶器、素焼き）（５０ｃｍ未満）,陶器、素焼きは厚紙に包み「陶器キケン」などと表示。最長辺が50cm以上ならOversized Trash。,う
Oversized Trash,植木鉢（陶器、素焼き）（５０ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,う
Ordinary Trash,植木鉢（プラスチック製）（５０ｃｍ未満）,最長辺が50cm以上ならOversized Trash,う
Oversized Trash,植木鉢（プラスチック製）（５０ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,う
Oversized Trash,ウォシュレット（温水便座）,業者が交換した場合、Wastes not collected by the City。業者に引取り依頼をしてください。,う
Oversized Trash,ウッドカーペット,一番長いところを2m未満にしてください。,う
Ordinary Trash,ウッドデッキパネル（50ｃｍ未満）,Ordinary Trashで出す場合、あらかじめ家庭から出るものであることを生活環境事業所に連絡してください。,う
Oversized Trash,ウッドデッキパネル（50ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,う
Mix Paper,栄養ドリンクが入っていた箱,,え
Ordinary Trash,MD（ディスク）,,え
Plastic Containers and Packaging,お菓子などの袋（プラスチック製）,,お
Small Metal Articles,おたま,,お
Small Metal Articles,おろしがね,,お
Ordinary Trash,落ち葉・剪定枝・刈り草・板切れ（50ｃｍ未満）,枝は太さ10cm程度、長さ50cm未満に切って束ねる。最長辺が50cm以上なら乾燥後Oversized Trash。,お
Oversized Trash,落ち葉・剪定枝・刈り草・板切れ（50ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,お
Ordinary Trash,おもちゃ（プラスチック製）（50ｃｍ未満）,最長辺が50cm以上ならOversized Trash,お
Oversized Trash,おもちゃ（プラスチック製）（50ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,お
Small Metal Articles,おもちゃ（金属・機械）（30cm未満）,最長辺が30cm以上ならOversized Trash,お
Oversized Trash,おもちゃ（金属・機械）（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,お
Ordinary Trash,温度計,厚紙に包み「温度計キケン」と表示する,お
Ordinary Trash,カーテン,,か
Ordinary Trash,カーペット（50ｃｍ未満）,最長辺が50cm以上ならOversized Trash,か
Oversized Trash,カーペット（50ｃｍ以上）,最長辺が50cm未満ならOrdinary Trash,か
Small Metal Articles,懐中電灯,乾電池を取りはずす（乾電池は資源物へ）,か
Ordinary Trash,カイロ（使い捨て）,使い捨て以外のものはSmall Metal Articles,か
Ordinary Trash,鏡,厚紙に包んで「キケン」と表示,か
Small Metal Articles,角ハンガー（金属製）,,か
Small Metal Articles,傘,,か
Small Metal Articles,加湿器（30cm未満）,最長辺が30cm以上ならOversized Trash,か
Oversized Trash,加湿器（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,か
Empty Cans・PET Bottles,菓子などの缶,,か
Mix Paper,菓子などの箱,,か
Empty Cans・PET Bottles,カセット式ガスボンベ,使い切って、中身を空にしてから出す,か
Ordinary Trash,カセットテープ,,か
Small Metal Articles,カッター・剃刀の刃,刃を厚紙で包み「カッターキケン」などと表示する,か
Ordinary Trash,カットウィッグ（美容師練習用）,Ordinary Trashで出す場合、あらかじめ家庭から出るものであることを生活環境事業所に連絡してください。,か
Ordinary Trash,カットウィッグ（ファッション用）,,か
Plastic Containers and Packaging,カップ麺の容器（プラスチック製）,軽く洗ってから出す,か
Mix Paper,カップ麺の容器（紙製）,ふき取ったり水で洗っても汚れが取れない場合はOrdinary Trash,か
Small Metal Articles,金づち,,か
Ordinary Trash,かばん（布製・皮製・ビニール製）（50cm未満）,最長辺が50cm以上ならOversized Trash,か
Oversized Trash,かばん（布製・皮製・ビニール製）（50cm以上）,最長辺が50cm未満ならOrdinary Trash,か
Ordinary Trash,紙おむつ,汚物を取り除いて匂いが漏れないようポリ袋に入れる,か
Ordinary Trash,紙くず（ティッシュペーパー等）,,か
Mix Paper,紙製容器包装（紙マーク）,,か
Mix Paper,紙類（ボール紙、菓子箱、封筒等）,,か
Ordinary Trash,紙類（汚れた紙、においの強い紙）,,か
Ordinary Trash,ガラス製品（50ｃｍ未満）,厚紙に包み「ガラスキケン」と表示する。最長辺が50cm以上ならOversized Trash,か
Oversized Trash,ガラス製品（50ｃｍ以上）,厚紙に包み「ガラスキケン」と表示する。最長辺が50cm未満ならOrdinary Trash,か
Oversized Trash,カーテンレール,,か
Ordinary Trash,革類,できるだけ資源集団回収へ,か
使用済み乾電池,乾電池（積層型・筒型アルカリ・筒型マンガン・リチウムコイン乾電池（型式記号CR及びBR））,透明・半透明の袋に一緒に入れて出す。マンション等で管理組合のルールがある場合はそちらに従う,か
Empty Cans・PET Bottles,缶詰,中身と缶を分けてそれぞれ出してください,か
Plastic Containers and Packaging,気泡緩衝材（プチプチ）,,き
Small Metal Articles,ギタースタンド（30cm未満）,最長辺が30cm以上ならOversized Trash,き
Oversized Trash,ギタースタンド（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,き
Oversized Trash,鏡台,,き
Oversized Trash,金庫,耐火性の金庫は市では処理しません。販売店等に相談してください,き
Small Metal Articles,空気清浄機（30cm未満）,最長辺が30cm以上ならOversized Trash,く
Oversized Trash,空気清浄機（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,く
Small Metal Articles,くぎ（ネジなどを含む）,透明袋で出す,く
Small Metal Articles,くずいれ（金属製）,,く
Empty Bottles,薬のびん（飲み薬）,,く
Plastic Containers and Packaging,薬の容器（プラスチック製）,,く
Plastic Containers and Packaging,薬の包装材（押し出し式などのもの）,アルミがついていてもそのまま出してください,く
Small Metal Articles,クッキングヒーター（30cm未満）,最長辺が30cm以上ならOversized Trash,く
Oversized Trash,クッキングヒーター（30cm以上）,最長辺が30cm未満ならOversized Trash,く
Ordinary Trash,靴,,く
Small Metal Articles,くん製剤（バルサン等・使用済み）,外装がはずせる場合は、金属部分をSmall Metal Articles、外装はOrdinary Trash,く
Ordinary Trash,蛍光管,廃蛍光管リサイクルは生活環境事業所に直接持ち込み。持ち込みができない場合、Ordinary Trash（厚紙等に包み「キケン」と表示）,け
Small Metal Articles,ケージ（動物）（30cm未満）,最長辺が30cm以上ならOversized Trash,け
Oversized Trash,ケージ（動物）（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,け
Small Metal Articles,ケーブル,束ねて出す,け
Small Metal Articles,ゲーム機やその周辺機器（30cm未満）,最長辺が30cm以上ならOversized Trash,け
Oversized Trash,ゲーム機やその周辺機器（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,け
Ordinary Trash,化粧品の容器（びん),厚紙に包み「びんキケン」などと表示する,け
Small Metal Articles,血圧計,,け
Small Metal Articles,健康器具（30cm未満）,最長辺が30cm以上ならOversized Trash,け
Oversized Trash,健康器具（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,け
Ordinary Trash,コップ（ガラス),厚紙に包み「コップキケン」などと表示する,こ
Small Metal Articles,コード類,束ねて出す,こ
Small Metal Articles,コーヒーメーカー（30cm未満）,最長辺が30cm以上ならOversized Trash,こ
Oversized Trash,コーヒーメーカー（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,こ
Oversized Trash,こたつ布団,折りたたみ、ひもで縛る,こ
Ordinary Trash,ごみ箱（プラスチック製）（50ｃｍ未満）,最長辺が30cm以上ならOversized Trash,こ
Oversized Trash,ごみ箱（プラスチック製）（50ｃｍ以上）,最長辺が30cm未満ならOrdinary Trash,こ
Small Metal Articles,ごみ箱（金属）（30cm未満）,最長辺が30cm以上ならOversized Trash,こ
Oversized Trash,ごみ箱（金属）（30cm以上）,最長辺が30cm未満ならSmall Metal Articles,こ
Oversized Trash,ゴルフバッグ,ゴルフクラブを入れてセットにできます,こ
Oversized Trash,ゴルフクラブ,ゴルフバッグに入れてセットにできます,こ
Oversized Trash,コンクリートブロック,Oversized Trash受付センターへ申込み（無料）。直径が30cm未満のもので、1回につき5個まで。30cm以上のものは販売店にご相談ください。,こ
Ordinary Trash,サイリュームケミカルライト,,さ
Oversized Trash,座椅子,5個まで1組。ひもで縛る（回転式はひとつずつに手数料がかかります）,さ
Small Metal Articles,魚焼き,,さ
Ordinary Trash,座布団(最長辺が50cm未満),最長辺が50cm以上ならOversized Trash,さ
Oversized Trash,座布団(最長辺が50cm以上),最長辺が50cm未満ならOrdinary Trash,さ
Ordinary Trash,皿,厚紙に包み「皿キケン」などと表示する,さ
Ordinary Trash,CD（ディスク),,し
Oversized Trash,敷石(直径が30cm未満),受付センターへ申込み（無料）。直径が30cm未満のもので、1回につき5個まで。30cm以上のものは販売店にご相談ください。,し
Small Metal Articles,磁石,,し
Oversized Trash,自転車,,し
Small Metal Articles,ジャッキ(最長辺が30cm未満),最長辺が30cm以上ならOversized Trash,し
Oversized Trash,ジャッキ(最長辺が30cm以上),最長辺が30cm未満ならSmall Metal Articles,し
Oversized Trash,食器洗い機（ビルトインタイプ）,業者が交換した場合、Wastes not collected by the City。業者に引取り依頼をしてください。,し
Mix Paper,写真,,し
Plastic Containers and Packaging,シャンプー容器（プラスチック製）,プラ容器は中身を使い切って、軽く洗ってから出す,し
Mix Paper,シュレッダー紙,,し
Ordinary Trash,じゅうたん(50cm未満),50cm以上ならOversized Trash,し
Oversized Trash,じゅうたん(50cm以上),50cm未満ならOrdinary Trash,し
Ordinary Trash,浄水器のカートリッジ（金属を含まない場合）,,し
Small Metal Articles,浄水器のカートリッジ（金属を含む場合）（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,し
Oversized Trash,浄水器のカートリッジ（金属を含む場合）（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,し
Small Metal Articles,照明器具（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash（蛍光管、電球はOrdinary Trash）,し
Oversized Trash,照明器具（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles（蛍光管、電球はOrdinary Trash）,し
Empty Cans・PET Bottles,食用油の缶,使い切って、さっと洗ってから出す,し
Empty Bottles,食用油のびん,使い切って、さっと洗ってから出す,し
Ordinary Trash,水槽（金属を含まない）（最長辺が50cm未満）,最長辺が50cm以上ならOversized Trash,す
Oversized Trash,水槽（金属を含まない）（最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,す
Small Metal Articles,水槽（金属を含む）（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,水槽（金属を含む）（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,炊飯器（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,炊飯器（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,スーツケース（柄等に金属を使用）（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
