type,name,notice,furigana
燃やせるごみ（有料),板,,い
燃やせるごみ（有料),革製品,,か
燃やせるごみ（有料),銀紙,,き
燃やせるごみ（有料),くつ,,く
燃やせるごみ（有料),資源にならない紙,臭いがついた紙（石けん個包装紙など)汚れている紙（使用済みティッシュなど) 防水加工された紙(紙コップなど）写真 感熱紙(レシートなど）裏カーボン紙（領収書など）ビニールコーティングされた紙,し
燃やせるごみ（有料),湿布・乾燥剤・脱臭剤,中身,し
燃やせるごみ（有料),食用油,凝固剤使用または布などに浸み込ませる,し
燃やせるごみ（有料),タバコの吸殻,,た
燃やせるごみ（有料),使い捨てカイロ,包装袋->プラスチックへ カイロ->燃やせるごみへ,つ
燃やせるごみ（有料),生ごみ,水分をよく切って,な
燃やせるごみ（有料),ネコ砂,,ね
燃やせるごみ（有料),灰,,は
燃やせるごみ（無料),家庭から出た落ち葉・雑草,,か
燃やせるごみ（無料),落ち葉・雑草,45リットルまでの透明または半透明の袋にいれて下さい,お
燃やせるごみ（無料),紙おむつ,45リットルまでの透明または半透明の袋にいれて「おむつ」と明記　汚物は取り除きトイレに流して下さい,か
燃やせないごみ(有料),ガラス,,か
燃やせないごみ(有料),傘,傘などのように長いものは半分以上袋にいれ、袋の口を縛って出してください。,か
燃やせないごみ(有料),金属類,,き
燃やせないごみ(有料),混合ごみ,金属・プラスチック・ガラスなどの複合素材のもの,こ
燃やせないごみ(有料),合成ゴム製品,,こ
燃やせないごみ(有料),せともの,,せ
燃やせないごみ(有料),ディスク・レコードなど,CD・DVD・LD,て
燃やせないごみ(有料),刃物類（包丁・ナイフ・カッターなど),刃をコンクリートなどにこすりつけて落とすか厚紙でくるみ指定収集袋にいれて出してください。（中身がわかるように指定収集袋に「危険物」と表示をしてください）,は
燃やせないごみ(有料),ホース類,長さ50cm程度に切ってください,ほ
プラスチック(資源 無料),食品容器・洗剤容器・トレー・菓子などの袋,,し
プラスチック(資源 無料),CD・カセットテープ・ビデオテープのケース,,し
プラスチック(資源 無料),発泡スチロール製品,,し
プラスチック(資源 無料),ペットボトルのキャップ、定規、その他プラスチック製品,,へ
有害ごみ(無料),蛍光灯,,け
有害ごみ(無料),水銀体温計,,す
有害ごみ(無料),電球,,て
有害ごみ(無料),電池類,,て
有害ごみ(無料),白熱灯,,は
有害ごみ(無料),ライター,,ら
びん(資源 無料),びん,プラスチック製キャップは「プラスチック」へ金属製キャップは「燃やせないごみ」へ,び
缶(資源 無料),飲料水空き缶,,い
缶(資源 無料),スプレー缶,中身を使い切り火の気のない屋外で穴をあけてから出して下さい 塗料用スプレー缶は出せません キャップ・ノズルなどのプラスチックの部分は取り外してプラスチックの日に出して下さい,す
ペットボトル(資源 無料),ペッボトル,キャップ・ラベルをはずして必ず水できれいにすすいでから、45リットルまでの透明又は半透明の袋に入れて出して下さい。,ぺ
新聞・折込チラシ(資源 無料),新聞・折込チラシ,新聞と折り込みチラシ（広告等）は一緒に出せます。,し
段ボール・茶色紙(資源 無料),段ボール・茶色紙,茶色紙は破った断面が茶色のものです。トイレットペーパーの芯なども破った断面が茶色であれば、茶色紙です,だ
雑誌・本・雑がみ(資源 無料),雑誌・本,ひもで束ねる,ざ
雑誌・本・雑がみ(資源 無料),雑がみ,雑がみは袋に入れる,ざ
雑誌・本・雑がみ(資源 無料),シュレッダーした紙,別袋に入れ空気を抜き、口をしばって出してください。,し
牛乳等紙パック(資源 無料),牛乳紙パック,洗ってひらき乾かしてたばねてください。内側にアルミコーティングされているものは「雑がみ」ビニールコーティングされているものは「燃やせるごみ」に出して下さい,ぎ
古布(資源 無料),古布,45リットルまでの透明又は半透明の袋に入れて出してください,ふ
せん定枝(資源 無料),せん定枝,長さ50cm（枝の直径は15cmまで）に切りそろえ、片手で持てる程度の量をひもで束ねて出して下さい。1回5束まで,せ
