type,name,notice,furigana
普通ごみ,マニキュアの容器（びん）,,ま
粗大ごみ,マットレス（足なし・足つき）,,ま
小物金属,魔法瓶（最長辺が30cm未満）,,ま
粗大ごみ,魔法瓶（最長辺が30cm以上）,,ま
普通ごみ,毛布,最長辺を50cm未満にたたんで出す,も
粗大ごみ,物干し竿（2m未満）,,も
粗大ごみ,物干し竿（2m以上）,"少し超える程度であれば、切断せずにそのまま粗大ごみとして出せます。
申し込み後は受付番号（または到達番号）と物干し竿の長さを、生活環境部収集計画課に電話またはメールでお知らせください。",も
小物金属,やかん（最長辺が30cm未満）,柄・取っ手を除き、最長辺が30cm以上なら粗大ごみ,や
粗大ごみ,やかん（最長辺が30cm以上）,柄・取っ手を除き、最長辺が30cm以上なら粗大ごみ,や
普通ごみ,湯たんぽ,,ゆ
小物金属,湯たんぽ（金属製）,,ゆ
普通ごみ,ライター（使い切り式）,	ガス・オイルは使い切るか、抜いて出す,ら
小物金属,ライター（充てん式）,ガス・オイルは使い切るか、抜いて出す,ら
小物金属,ラジオ（30cm未満）,最長辺が30cm以上なら粗大ごみ,ら
粗大ゴミ,ラジオ（30cm以上）,最長辺が30cm以上なら粗大ごみ,ら
プラスチック製容器包装,ラップ（商品を包んでいたもの）,汚れたものは普通ごみ,ら
ミックスペーパー,ラップの芯,,ら
小物金属,リモコン,,り
小物金属,レーザープリンタ,たたんだ30cm以上なら粗大ごみ,れ
粗大ごみ,レーザープリンタ,たたんだ30cm以上なら粗大ごみ,れ
ミックスペーパー,レシート,,れ
プラスチック製容器包装,レジ袋,,れ

